"Type","au_id_k","title_id_k","au_ord_s","au_ord_t","royaltyper_s","royaltyper_t"
"In1","384-28-0422","LPDGRM","1","","98",""
"In1","384-78-8459","SYM9Z0","1","","52",""
"In1","384-78-8459","ZWZQMA","1","","80",""
"In1","385-14-7927","LQR70I","3","","69",""
"In1","385-17-3553","EHHIH6","1","","99",""
"In1","385-19-9996","FJ4EKD","3","","53",""
"In1","385-19-9996","X6042X","1","","40",""
"In1","385-60-1546","3MWYHU","2","","83",""
"In1","385-97-7274","TW2HRB","1","","83",""
"In1","385-97-7274","YGQ86H","2","","40",""
"In1","387-01-8813","BOJIC1","2","","95",""
"In1","387-05-4594","080R19","2","","91",""
"In1","387-05-4594","QSN3DY","2","","82",""
"In1","387-68-8741","9TF4OO","2","","91",""
"In1","387-68-8741","LPDGRM","1","","81",""
"In1","389-86-9002","E6EM69","1","","52",""
"In1","389-93-4593","ANQ9R5","1","","87",""
"In1","389-93-4593","VO09PO","1","","74",""
"In1","390-62-6320","BUORU3","1","","95",""
"In1","390-62-6320","I8YHLJ","1","","49",""
"In1","391-02-0500","HWJ80N","1","","99",""
"In1","393-47-0668","H9M9HV","2","","68",""
"In1","393-47-0668","LYS63V","2","","42",""
"In1","394-00-9205","0HKD7Q","1","","85",""
"In1","394-24-7916","06XCF3","2","","46",""
"In1","394-24-7916","VGPEMC","1","","64",""
"In1","394-78-2186","G69PU7","1","","41",""
"In1","394-78-2186","YS3YCY","1","","62",""
"In1","395-52-3474","NO0ZRO","1","","62",""
"In1","395-52-3474","NT1KP1","1","","89",""
"In1","396-36-5442","A9AAA2","2","","87",""
"In1","396-36-5442","ZGTOXI","1","","64",""
"In1","396-41-0401","EVZSD","2","","60",""
"In1","396-59-7812","EHGI1S","1","","89",""
"In1","396-59-7812","WMM3E9","1","","69",""
"In1","397-85-9270","DK23Z2","2","","97",""
"In1","397-85-9270","HZ4IQX","2","","67",""
"In1","397-92-1044","QHN2KN","1","","97",""
"In1","398-98-9019","85I3BT","1","","80",""
"In1","398-98-9019","9P1XQ5","1","","48",""
"In1","399-04-5652","GPA6XE","2","","94",""
"In1","400-01-0480","OPJKAK","1","","78",""
"In1","400-01-9740","4P5J1D","2","","88",""
"In1","400-01-9740","MD2DV7","1","","92",""
"In1","400-91-5789","KDIJV0","1","","64",""
"In1","400-91-5789","KJIOD5","3","","73",""
"In1","401-22-2749","WH5YB0","1","","43",""
"In1","403-27-8301","FIH3VD","1","","97",""
"In1","403-27-8301","ZAUJTV","3","","54",""
"In1","404-64-1990","GV2K0S","1","","52",""
"In1","404-64-1990","YCB01Y","2","","84",""
"In1","406-12-1085","3BOF8G","1","","71",""
"In1","407-58-1152","P510GY","1","","64",""
"In1","407-58-1152","PE2K2N","1","","47",""
"In1","408-21-6287","YR64BN","1","","97",""
"In1","410-43-1408","J16910","1","","94",""
"In1","411-06-0451","EHGI1S","1","","50",""
"In1","411-06-0451","OSWZRF","1","","68",""
"In1","412-87-8386","CPWCC","1","","80",""
"In1","415-00-8725","H3K9BV","1","","87",""
"In1","415-30-2694","XUMPQE","1","","75",""
"In1","415-80-2764","ZB4QZV","1","","82",""
"In1","416-71-9399","10TRZG","1","","82",""
"In1","416-71-9399","KYMAI1","1","","80",""
"In1","417-04-1182","W312M5","1","","59",""
"In1","417-04-4112","E22N","1","","48",""
"In1","418-86-2180","BHCIET","1","","92",""
"In1","419-23-1520","NRTD43","1","","43",""
"In1","420-14-2796","K3HSRO","1","","79",""
"In1","420-14-2796","QJUXR1","1","","45",""
"In1","422-03-5317","434GEB","1","","91",""
"In1","424-57-6660","CEYOAD","1","","71",""
"In1","424-80-8562","1AR13I","1","","69",""
"In1","424-80-8562","VXW8Z3","3","","68",""
"In1","425-43-1346","CXK032","1","","41",""
"In1","425-43-1346","VOYI7M","1","","58",""
"In1","425-69-2922","FPE4TO","1","","52",""
"In1","428-63-5921","48G5AY","1","","79",""
"In1","428-63-5921","Q8YPGM","2","","74",""
"In1","428-86-9962","FCAT9","1","","79",""
"In1","429-15-8236","YV5YKM","1","","66",""
"In1","429-42-8147","IP9LJR","2","","40",""
"In1","429-69-7739","JZ4NCT","1","","49",""
"In1","429-73-3647","1NBJFB","1","","53",""
"In1","430-48-4383","2MH4IP","1","","89",""
"In1","430-48-4383","GO2IKE","1","","62",""
"In1","430-50-0136","XMIQYG","1","","69",""
"In1","430-94-9041","LN809F","1","","100",""
"In1","430-94-9041","NVM8XH","1","","61",""
"In1","430-98-0538","CXHM65","1","","66",""
"In1","430-98-0538","QJPGHE","1","","53",""
"In1","431-08-8624","13OALN","2","","58",""
"In1","433-67-5418","2FDW7U","1","","99",""
"In1","435-49-9283","SS6FD","2","","96",""
"In1","436-11-0379","1A09XC","1","","61",""
"In1","436-76-1653","NHAJCT","1","","61",""
"In1","436-79-6317","EMALDE","1","","95",""
"In1","437-15-5485","EYIHUT","2","","93",""
"In1","437-15-5485","VMCG3E","1","","80",""
"In1","437-84-1956","39PWGU","1","","65",""
"In1","437-84-1956","IHJVCR","1","","46",""
"In1","438-82-0771","F78IQN","1","","93",""
"In1","438-83-8557","QZROZN","1","","87",""
"In1","438-83-8557","TSOX4T","1","","97",""
"In1","439-13-2916","JCPHRX","1","","96",""
"In1","440-94-0038","DUV4A9","2","","63",""
"In1","441-00-3107","742TDR","1","","95",""
"In1","441-00-3107","WGPST6","1","","46",""
"In1","442-23-2490","QE61CF","1","","79",""
"In1","442-23-2490","STUHZC","2","","71",""
"In1","442-85-2671","8A8FBD","1","","96",""
"In1","442-85-2671","JN1DLK","1","","88",""
"In1","443-51-0933","4Y5QBA","2","","64",""
"In1","443-51-0933","BK9IBY","1","","89",""
"In1","444-91-2208","CJA9P6","1","","74",""
"In1","444-91-2208","ZGTOXI","1","","51",""
"In1","446-58-2731","EE7EB4","2","","80",""
"In1","446-58-2731","QS0H5Z","2","","90",""
"In1","449-34-2662","HSEJZ8","2","","88",""
"In1","450-41-8552","EECNM6","1","","57",""
"In1","450-41-8552","RFIABR","1","","42",""
"In1","450-83-9969","EN3MIK","1","","47",""
"In1","450-83-9969","VR9OSF","1","","87",""
"In1","451-77-2047","HZ4LEX","1","","<NULL>",""
"In1","453-29-2826","8ZM31E","1","","66",""
"In1","453-59-7435","MESPO4","1","","<NULL>",""
"In1","453-59-7435","T14RP1","1","","48",""
"In1","453-74-0445","EJAXRD","1","","85",""
"In1","453-74-0445","MCP2ZO","2","","81",""
"In1","454-68-6766","6VSK5Q","1","","48",""
"In1","457-42-0093","4PBR6N","1","","87",""
"In1","457-55-4310","AGMDQ8","1","","50",""
"In1","458-57-9108","0S1FJ5","1","","58",""
"In1","458-57-9108","KDIJV0","1","","61",""
"In1","459-27-2169","05XKTJ","1","","70",""
"In1","459-27-2169","MCP2ZO","2","","65",""
"In1","459-76-6024","J3ILH9","2","","65",""
"In1","460-07-1905","4XJEG6","1","","83",""
"In1","460-07-1905","L3M36B","1","","67",""
"In1","465-19-5158","8PDE3K","1","","57",""
"In1","465-19-5158","MN1FYS","1","","83",""
"In1","465-34-6643","TVRNHF","2","","43",""
"In1","467-83-7690","ZIE73L","1","","82",""
"In1","467-86-6398","MXNDCO","2","","53",""
"In1","468-84-6524","YU7OQI","1","","87",""
"In1","469-09-1866","BV6WNE","1","","59",""
"In1","469-39-1591","7J1RX0","2","","51",""
"In1","469-39-1591","TDKDRA","1","","80",""
"In1","470-26-3666","8RUGEF","1","","45",""
"In1","470-26-3666","HMYMKV","1","","79",""
"In1","472-25-5361","095CST","2","","74",""
"In1","472-25-5361","2DQWR2","2","","73",""
"In1","472-47-2343","A6J1AU","3","","95",""
"In1","472-47-2343","GNS60N","1","","62",""
"In1","472-58-0330","O3EF9P","1","","74",""
"In1","472-74-3379","TB4TZL","1","","62",""
"In1","472-83-9006","UFHTXU","1","","96",""
"In1","474-59-8546","F1R3IG","1","","53",""
"In1","474-59-8546","K0Q7N1","1","","52",""
"In1","478-43-5752","4KU7VO","2","","85",""
"In1","478-43-5752","S9SD2N","1","","76",""
"In1","478-99-7748","1NRKTT","1","","57",""
"In1","478-99-7748","R2JJXQ","2","","68",""
"In1","479-48-3491","EFPPYF","1","","68",""
"In1","479-48-3491","TO1FSQ","1","","50",""
"In1","480-88-1126","WGLCYE","1","","49",""
"In1","481-14-9724","J02JPN","2","","80",""
"In1","481-71-7611","LFXF2M","2","","62",""
"In1","481-71-7611","VCG59","2","","63",""
"In1","482-09-8706","IATI77","2","","63",""
"In1","482-09-8706","OLS2PL","2","","80",""
"In1","482-52-8115","GF4XYS","1","","85",""
"In1","482-52-8115","LD5MGP","2","","50",""
"In1","483-19-5446","L0GYCS","1","","62",""
"In1","483-19-5446","ZHTH0U","1","","49",""
"In1","485-25-8960","Y9F496","1","","54",""
"In1","485-68-6520","6IRDWR","2","","96",""
"In1","486-92-3596","06KF2P","1","","58",""
"In1","486-92-3596","Z6LHNX","1","","97",""
"In1","489-16-0895","SAMQM3","1","","65",""
"In1","489-16-0895","SYPC1Z","2","","93",""
"In1","489-69-7213","KUNQLE","1","","93",""
"In1","492-89-8131","7NGQJE","2","","87",""
"In1","492-89-8131","NJ0YU2","2","","87",""
"In1","493-10-4062","1JWKBJ","1","","76",""
"In1","493-10-4062","NR94N0","2","","42",""
"In1","493-87-8123","SEAMIF","1","","41",""
"In1","494-17-8591","DZVU5U","1","","72",""
"In1","494-17-8591","Y947WJ","1","","98",""
"In1","495-23-9407","54M8BA","1","","71",""
"In1","495-23-9407","VSTRDW","1","","60",""
"In1","496-42-4288","76Q26E","1","","87",""
"In1","498-81-3981","3DQMS5","1","","53",""
"In1","498-81-3981","S07G6K","2","","95",""
"In1","500-04-8353","9BTOQX","1","","54",""
"In1","500-04-8353","LKOJGI","3","","88",""
"In1","501-29-0840","GQH8WG","1","","53",""
"In1","501-29-0840","W6C9TI","1","","45",""
"In1","503-00-4447","E03V3G","1","","51",""
"In1","503-96-0046","95XO0J","1","","60",""
"In1","504-51-9367","B2D47L","1","","50",""
"In1","504-51-9367","JYC15U","1","","97",""
"In1","505-28-2848","10TRZG","1","","48",""
"In1","505-28-2848","KAS6UD","1","","41",""
"In1","505-98-8434","3DQMS5","1","","90",""
"In1","505-98-8434","PM2W8B","1","","99",""
"In1","506-31-2666","GFFHGY","1","","79",""
"In1","506-90-3158","9L154P","2","","65",""
"In1","506-90-3158","CS7XSR","2","","51",""
"In1","507-51-6751","ILDCVX","1","","53",""
"In1","508-36-1827","TS7WKI","1","","98",""
"In1","509-22-7134","Z9HNZZ","1","","56",""
"In1","509-22-7134","ZC18MR","1","","51",""
"In1","509-96-7095","0S1FJ5","1","","46",""
"In1","509-96-7095","H9BRE0","1","","93",""
"In1","511-25-3594","6CDVWQ","1","","48",""
"In1","511-25-3594","C5QV4Y","3","","47",""
"In1","512-39-0777","VYX5XM","3","","70",""
"In1","514-47-2134","BJL5KY","1","","90",""
"In1","516-95-7184","BZDAFX","1","","60",""
"In1","516-95-7184","OB6NR8","3","","65",""
"In1","517-08-4859","FYZYHX","1","","82",""
"In1","517-41-5291","7VBU6O","2","","68",""
"In1","517-41-5291","VR9OSF","1","","74",""
"In1","518-67-8288","H9KWF0","1","","55",""
"In1","519-70-1868","NPWCSQ","1","","88",""
"In1","520-44-7308","0IIH32","1","","67",""
"In1","520-44-7308","OSWZRF","1","","45",""
"In1","521-50-2862","E3C6QD","1","","98",""
"In1","521-86-3362","4PS23D","1","","70",""
"In1","522-06-3906","EQIB1H","1","","91",""
"In1","522-06-3906","JDJCPQ","1","","61",""
"In1","522-14-8688","9L154P","2","","88",""
"In1","522-14-8688","IN397D","1","","74",""
"In1","522-40-9769","D89PI7","1","","46",""
"In1","522-40-9769","DCHNFW","1","","41",""
"In1","524-64-3860","FCKHAR","1","","95",""
"In1","524-64-3860","FJ4EKD","3","","78",""
"In1","525-28-8690","FX8C3I","1","","79",""
"In1","525-28-8690","V5E0T9","1","","80",""
"In1","525-38-8955","ACLUZU","1","","92",""
"In1","525-38-8955","ZGV8MD","2","","85",""
"In1","525-75-2288","58WMVS","1","","56",""
"In1","525-86-0882","53LM2V","2","","48",""
"In1","525-86-0882","TLO2X1","1","","72",""
"In1","526-14-8306","09HLHU","1","","74",""
"In1","526-14-8306","YCB01Y","2","","64",""
"In1","527-40-5012","COTOFU","1","","47",""
"In1","528-45-2554","OMET75","1","","51",""
"In1","528-45-2554","PLRSWT","1","","40",""
"In1","530-09-2056","6S6CKX","1","","77",""
"In1","531-25-0405","64RQ1Q","2","","79",""
"In1","531-25-0405","J4974O","2","","71",""
"In1","532-05-4564","FQCAHB","1","","96",""
"In1","532-39-8407","URAXCN","2","","64",""
"In1","532-98-2446","JLJLT3","1","","56",""
"In1","532-98-2446","X2G9NT","1","","59",""
"In1","533-21-9571","I5GCWD","2","","50",""
"In1","533-21-9571","QUVETO","1","","76",""
"In1","534-07-9435","27L7CW","1","","67",""
"In1","534-07-9435","C0675E","2","","62",""
"In1","534-59-4007","CZXZPR","2","","55",""
"In1","534-59-4007","VDPE32","1","","40",""
"In1","535-81-4645","0UURWD","3","","70",""
"In1","537-01-4616","7VBU6O","2","","60",""
"In1","537-01-4616","X4VR0Y","2","","89",""
"In1","537-47-5501","FXHO7R","2","","42",""
"In1","540-26-3606","CAL0GX","2","","91",""
"In1","540-43-5142","PL0QFD","1","","99",""
"In1","540-43-5142","RLKZYY","1","","57",""
"In1","540-97-1869","IZDRB8","2","","64",""
"In1","542-32-3074","624COA","1","","89",""
"In1","543-23-3633","1H45CH","1","","77",""
"In1","543-23-3633","RBCVRZ","1","","90",""
"In1","544-59-3001","WU0CBZ","1","","83",""
"In1","546-17-5402","A8YTEN","2","","91",""
"In1","546-17-5402","VJ4UH5","1","","73",""
"In1","547-91-1103","P949L0","1","","55",""
"In1","548-81-6330","K3B13O","1","","89",""
"In1","548-81-6330","MP9GRF","1","","65",""
"In1","551-43-0778","290YFH","2","","45",""
"In1","553-97-3197","69YM1K","1","","95",""
"In1","554-92-1527","RSJZOL","1","","53",""
"In1","554-92-1527","ZLVD6T","1","","69",""
"In1","554-96-0232","JFB8Y8","1","","61",""
"In1","555-78-1562","GEXW15","2","","70",""
"In1","555-78-1562","X8CALG","2","","79",""
"In1","559-38-1724","50ULN7","2","","66",""
"In1","559-38-1724","H9BRE0","1","","45",""
"In1","560-90-4822","AT16UJ","1","","53",""
"In1","561-67-0592","VKHCZS","1","","69",""
"In1","562-38-1366","P3PRCJ","1","","60",""
"In1","562-38-1366","W6C9TI","1","","72",""
"In1","562-46-4515","1OMJYB","2","","80",""
"In1","562-53-6861","2IFT3R","1","","71",""
"In1","564-02-0055","WDMIMH","3","","96",""
"In1","564-44-1867","2BO86R","2","","74",""
"In1","564-44-1867","EZDDI1","1","","91",""
"In1","565-00-1604","KJVVP5","2","","83",""
"In1","565-00-1604","X6TZHU","1","","40",""
"In1","565-29-6323","37F7VF","1","","64",""
"In1","565-29-6323","P510GY","1","","52",""
"In1","565-39-8257","TPE13Y","1","","73",""
"In1","566-62-3054","CQRC1Q","1","","99",""
"In1","566-62-3054","D3YFS","1","","90",""
"In1","568-18-9404","0GY51E","2","","80",""
"In1","568-18-9404","0IIH32","1","","52",""
"In1","570-42-1153","C0675E","2","","71",""
"In1","570-42-1153","RDFUE1","2","","77",""
"In1","570-48-4876","MZ3FRN","1","","80",""
"In1","570-48-4876","NJ2OFD","1","","83",""
"In1","571-06-9415","FCKHAR","1","","42",""
"In1","571-06-9415","IKEZ4M","1","","52",""
"In1","574-39-0046","M34TZT","2","","79",""
"In1","574-49-6757","HB3ZSA","1","","93",""
"In1","574-49-6757","QCXWXH","2","","57",""
"In1","574-61-0551","6VQVVX","1","","43",""
"In1","575-04-0698","4VUC5P","1","","58",""
"In1","575-32-6865","BONHBK","1","","75",""
"In1","575-32-6865","L7P728","1","","82",""
"In1","576-33-1324","IECN6I","1","","61",""
"In1","576-90-8757","DPEJ8X","2","","70",""
"In1","576-98-4537","E3J5JD","1","","84",""
"In1","577-21-3425","JIK179","2","","100",""
"In1","578-83-0692","2BO86R","2","","90",""
"In1","578-83-0692","DYRC9T","1","","54",""
"In1","579-31-6512","2MKLN9","2","","94",""
"In1","579-31-6512","JHN1GV","1","","71",""
"In1","580-93-4508","GDAC6X","2","","53",""
"In1","580-93-4508","OF8DGA","1","","72",""
"In1","582-75-1525","F0TF3Q","2","","100",""
"In1","582-85-0967","9P1XQ5","1","","99",""
"In1","582-85-0967","MQR58Q","2","","93",""
"In1","583-56-9745","IFR5KZ","2","","50",""
"In1","583-56-9745","OMET75","1","","83",""
"In1","584-25-9220","27Y4CZ","2","","55",""
"In1","584-45-8986","AAXW8O","1","","97",""
"In1","584-45-8986","RXPHZP","1","","53",""
"In1","585-22-6730","64RQ1Q","2","","70",""
"In1","585-22-6730","CHOH5Z","2","","67",""
"In1","588-33-9820","BWW172","2","","85",""
"In1","588-33-9820","F00NOG","1","","65",""
"In1","591-26-0635","6CDVWQ","1","","91",""
"In1","591-26-0635","AQPBSP","1","","54",""
"In1","591-34-6399","8PDE3K","1","","73",""
"In1","591-34-6399","Q1MXXV","1","","81",""
"In1","592-15-6523","I3AY40","1","","56",""
"In1","594-12-8589","T3J8CL","1","","60",""
"In1","594-57-0615","W4M880","1","","77",""
"In1","594-61-6755","SVKAM5","1","","55",""
"In1","595-59-9976","3L01QI","1","","97",""
"In1","596-50-0259","JSS2ST","1","","69",""
"In1","596-80-6536","DZHEF4","2","","67",""
"In1","596-80-6536","MQR58Q","2","","68",""
"In1","598-18-5292","WBXLKV","2","","64",""
"In1","598-66-9364","GNS60N","1","","64",""
"In1","598-66-9364","K3B13O","1","","81",""
"In1","599-32-1640","37F7VF","1","","54",""
"In1","599-32-1640","483Y9J","2","","47",""
"In1","600-10-1997","K28HM9","1","","<NULL>",""
"In1","600-13-7352","KG92DX","2","","89",""
"In1","600-70-4386","25440G","1","","99",""
"In1","601-14-5720","U4XX5F","1","","81",""
"In1","601-55-2513","XPQBMA","1","","88",""
"In1","602-45-8367","WW0AEG","1","","55",""
"In1","603-81-3639","1SC9E8","3","","48",""
"In1","603-81-3639","COGD7O","1","","61",""
"In1","604-08-1867","I8YHLJ","1","","92",""
"In1","604-08-1867","YEHQOK","2","","86",""
"In1","604-27-9669","XNPX5E","2","","99",""
"In1","604-27-9669","YS3YCY","1","","85",""
"In1","606-69-3243","ODS7VS","1","","51",""
"In1","607-24-5871","Z9HDRC","1","","90",""
"In1","607-95-4174","9UJQ1M","1","","40",""
"In1","608-09-8563","KM9N6J","1","","74",""
"In1","608-15-9537","1CDAS3","1","","68",""
"In1","608-15-9537","OBCRUZ","1","","93",""
"In1","608-62-8438","GI4WI9","1","","89",""
"In1","615-16-2153","A8YTEN","2","","58",""
"In1","615-16-2153","PT7DHC","2","","96",""
"In1","615-46-4120","WUKK6W","1","","63",""
"In1","616-77-3511","H57SAU","1","","51",""
"In1","616-78-2885","9UW5SK","1","","88",""
"In1","616-78-2885","ZAFV5M","3","","83",""
"In1","616-89-7888","DYF2FU","1","","83",""
"In1","618-37-3516","SAMQM3","1","","95",""
"In1","618-37-3516","UGOA0Y","1","","40",""
"In1","618-96-2318","9TF4OO","2","","71",""
"In1","618-96-2318","PL0QFD","1","","85",""
"In1","621-29-9628","UHLB7P","2","","55",""
"In1","621-29-9628","VOYI7M","1","","70",""
"In1","625-61-4600","9WAQ46","2","","68",""
"In1","625-61-4600","JK2B7O","2","","78",""
"In1","628-36-2946","JPSMOU","2","","64",""
"In1","628-36-2946","T6QASM","1","","95",""
"In1","628-60-3979","9ATPJ3","1","","67",""
"In1","629-44-9170","QVP75O","1","","80",""
"In1","629-44-9170","SWRZXF","2","","50",""
"In1","629-49-5585","VRM25B","1","","43",""
"In1","629-65-3503","YSY106","2","","<NULL>",""
"In1","629-90-4202","04NAXO","2","","40",""
"In1","632-03-8411","BBGTH","1","","70",""
"In1","632-03-8411","MJOD8B","2","","47",""
"In1","632-19-4271","TEPYYT","1","","44",""
"In1","632-29-7512","UQSI6J","2","","71",""
"In1","635-80-9040","A83X0S","2","","40",""
"In1","636-73-7045","LFXF2M","2","","80",""
"In1","636-73-7045","XUB3AN","2","","84",""
"In1","637-50-0457","QX7Q4I","2","","70",""
"In1","637-98-9296","2CO2YO","1","","74",""
"In1","639-56-7333","KEFNJG","1","","65",""
"In1","639-90-7107","IDY6W0","2","","57",""
"In1","640-23-3031","11L3FJ","2","","93",""
"In1","640-23-3031","7J1RX0","2","","63",""
"In1","642-04-6774","812VNS","1","","57",""
"In1","646-72-6398","DRDK1W","1","","85",""
"In1","646-72-6398","JE3SVV","1","","96",""
"In1","648-44-2035","Q1NP0H","1","","96",""
"In1","648-44-2035","V5E0T9","1","","82",""
"In1","650-13-6911","UXIV2O","1","","56",""
"In1","650-61-3268","D0V3U6","1","","46",""
"In1","650-61-3268","RFIABR","1","","52",""
"In1","652-32-9654","F00NOG","1","","99",""
"In1","652-32-9654","WWWDSW","1","","96",""
"In1","653-45-2782","1NOD7C","1","","40",""
"In1","654-67-5246","T74N0D","1","","63",""
"In1","655-67-6865","E60IYB","2","","94",""
"In1","658-60-5022","K7XM77","1","","79",""
"In1","659-20-2586","IAWEW6","1","","72",""
"In1","659-20-2586","MN1FYS","1","","76",""
"In1","660-52-8017","NJ0YU2","2","","45",""
"In1","660-52-8017","YN4VQY","1","","57",""
"In1","661-66-0198","32XGWL","1","","47",""
"In1","662-38-5383","EN3MIK","1","","94",""
"In1","662-38-5383","SKMURW","1","","47",""
"In1","664-27-6643","DYRC9T","1","","89",""
"In1","664-27-6643","JUMGG7","1","","59",""
"In1","664-32-4104","QSVY9L","3","","100",""
"In1","664-32-4104","XC7MJX","1","","91",""
"In1","664-79-1981","46DCIP","1","","52",""
"In1","664-79-1981","LKOJGI","3","","51",""
"In1","665-03-2230","BTRMYW","1","","58",""
"In1","665-03-8947","VGV79C","1","","97",""
"In1","666-00-8212","9FWWX9","1","","48",""
"In1","666-85-8410","KRQOBE","1","","61",""
"In1","666-85-8410","NT1KP1","1","","93",""
"In1","667-77-2952","BZRAL3","2","","63",""
"In1","669-46-6204","CKQFVQ","1","","66",""
"In1","671-97-1998","R2JJXQ","2","","71",""
"In1","671-97-1998","Z21MYL","1","","95",""
"In1","672-83-0864","Y3UWF2","2","","66",""
"In1","673-88-2145","GDAC6X","2","","70",""
"In1","673-88-2145","QSYZ75","2","","97",""
"In1","674-17-9990","EOQD8T","2","","52",""
"In1","674-17-9990","THINW6","1","","88",""
"In1","674-98-4191","X5Y3WF","1","","62",""
"In1","675-16-4286","LK810F","1","","62",""
"In1","675-16-4286","QTAA9W","2","","82",""
"In1","675-57-1731","X5AD72","1","","100",""
"In1","675-78-4796","Y7L1MW","2","","81",""
"In1","675-85-0596","CTQF2G","2","","96",""
"In1","675-85-0596","DRDK1W","1","","86",""
"In1","676-68-2791","8HE49J","1","","52",""
"In1","676-68-2791","LUHIU4","1","","75",""
"In1","676-82-7281","A9AAA2","2","","81",""
"In1","676-82-7281","X4VR0Y","2","","71",""
"In1","677-20-3792","RBCVRZ","1","","78",""
"In1","677-20-3792","V0H1J1","3","","62",""
"In1","678-53-4092","VE50GG","1","","48",""
"In1","680-88-0746","0IKIPK","1","","69",""
"In1","680-91-4674","HHM9PM","2","","92",""
"In1","680-91-4674","SKMURW","1","","74",""
"In1","681-09-9421","WUCZI","2","","54",""
"In1","683-14-2471","YZAV8K","1","","88",""
"In1","684-26-8421","R7B4ZZ","1","","84",""
"In1","684-26-8421","Z21MYL","1","","92",""
"In1","684-32-1161","D91DYY","2","","47",""
"In1","684-32-1161","GQ3FOZ","2","","55",""
"In1","684-48-7788","LGWKSU","1","","50",""
"In1","685-36-4613","G6I2MH","1","","57",""
"In1","685-60-9556","EJAXRD","1","","70",""
"In1","685-60-9556","XHUT0L","1","","48",""
"In1","686-27-8823","MPU8VL","1","","87",""
"In1","687-46-7337","JAHMR8","1","","77",""
"In1","687-46-7337","YMPC6R","1","","69",""
"In1","687-98-5645","GV5Q1X","1","","86",""
"In1","689-10-0474","F5I6CY","1","","43",""
"In1","690-50-9198","BBGTH","1","","58",""
"In1","690-50-9198","V0NXDG","1","","67",""
"In1","690-94-8328","MG3HU8","1","","88",""
"In1","691-21-5240","YAJ6M8","3","","78",""
"In1","691-92-9902","GABH6P","2","","41",""
"In1","691-92-9902","GZYVJ0","1","","82",""
"In1","692-79-7558","OS50TC","1","","57",""
"In1","692-79-7558","V0NXDG","1","","60",""
"In1","693-90-5501","R4J082","1","","88",""
"In1","693-90-5501","TPV1GB","1","","90",""
"In1","694-50-3698","IZ14Y5","1","","56",""
"In1","694-50-3698","XQ7OYY","2","","95",""
"In1","695-25-1606","2P4HUQ","1","","79",""
"In1","695-89-9689","9XQELG","1","","76",""
"In1","696-61-5561","IXCI5P","1","","44",""
"In1","696-61-5561","Z02Q7S","1","","73",""
"In1","698-12-2178","MZ3FRN","1","","76",""
"In1","698-12-2178","XW292K","1","","40",""
"In1","698-48-1162","B9GWLW","1","","46",""
"In1","698-75-1474","CJA9P6","1","","52",""
"In1","698-75-1474","TX36TB","2","","79",""
"In1","700-16-3935","CD2ZZ5","2","","55",""
"In1","701-64-1183","OQG5VX","1","","40",""
"In1","702-83-5602","B9AM3H","3","","57",""
"In1","702-83-5602","VSTRDW","1","","70",""
"In1","703-15-3612","EV2XDB","1","","92",""
"In1","706-48-8078","9JA7PX","1","","46",""
"In1","706-48-8078","RSPOQF","1","","91",""
"In1","710-05-2963","GFH5WE","1","","73",""
"In1","710-58-4875","2MKLN9","2","","92",""
"In1","710-58-4875","QZROZN","1","","71",""
"In1","711-71-9903","6DS1C1","3","","82",""
"In1","713-64-6828","50CPA5","1","","57",""
"In1","713-93-1104","9JA7PX","1","","50",""
"In1","713-93-1104","EE7EB4","2","","42",""
"In1","714-78-8253","LIZV24","1","","71",""
"In1","715-05-5853","B9AM3H","3","","54",""
"In1","715-05-5853","L3M36B","1","","69",""
"In1","718-87-8514","L2MYLH","1","","95",""
"In1","718-87-8514","QF2QCI","1","","100",""
"In1","720-41-2073","F1AA8P","2","","58",""
"In1","721-63-8437","0V1FXQ","1","","59",""
"In1","721-63-8437","QF2QCI","1","","59",""
"In1","724-93-1688","COGD7O","1","","91",""
"In1","724-93-1688","TPV1GB","1","","46",""
"In1","727-88-7584","AT76A8","1","","56",""
"In1","728-19-8692","MQXPDU","1","","90",""
"In1","729-32-4488","R16W75","1","","96",""
"In1","730-65-7089","PIJGYF","2","","72",""
"In1","730-65-7089","UGOA0Y","1","","68",""
"In1","730-77-6006","GZYVJ0","1","","63",""
"In1","730-77-6006","VRHHJP","1","","77",""
"In1","731-14-1718","CRI5E6","1","","77",""
"In1","731-14-1718","KYMAI1","1","","54",""
"In1","734-51-7657","PBAI28","1","","62",""
"In1","734-87-4599","N7AV9G","2","","41",""
"In1","735-78-7011","IAWEW6","1","","87",""
"In1","735-78-7011","OPKJ4M","1","","61",""
"In1","736-26-3935","H1LNCH","3","","77",""
"In1","737-83-0691","GP07DA","1","","83",""
"In1","738-00-1975","9I3ET8","2","","59",""
"In1","738-00-1975","SKK151","1","","43",""
"In1","738-37-0568","NEMZN5","1","","78",""
"In1","740-82-2722","SR7FV7","2","","77",""
"In1","741-48-0328","0GY51E","2","","47",""
"In1","741-48-0328","7P6K8I","1","","80",""
"In1","741-68-8982","K1JWSF","1","","93",""
"In1","741-86-4159","YWNOTR","1","","70",""
"In1","741-88-1802","FK1JAU","1","","93",""
"In1","742-58-1564","OH1FHA","3","","94",""
"In1","742-58-1564","X2G9NT","1","","69",""
"In1","744-85-5468","ID268A","1","","49",""
"In1","744-85-5468","XHUT0L","1","","79",""
"In1","745-13-2180","1QVQ2H","1","","70",""
